Name,Location,Year,Kms_Driven,Price,Car_Age,Price_per_KM
Land Rover Range Rover Vogue SE 4.4 SDV8,Coimbatore,2013,75995,65.81,12,86.59780248700572
BMW 3 Series 320d Sport Line,Mumbai,2014,23000,19.9,11,86.52173913043477
Porsche Panamera Diesel 250hp,Kochi,2014,60033,51.52,11,85.81946596038846
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,32.0,11,85.60269648493927
Audi A4 35 TDI Premium Plus,Coimbatore,2014,28469,24.37,11,85.60188274965752
Jaguar XF 2.2 Litre Luxury,Mumbai,2013,31400,26.75,12,85.19108280254777
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,30.0,15,85.04124500382686
Mercedes-Benz SL-Class SL 500,Kolkata,2010,35000,29.5,15,84.28571428571429
Audi Q7 3.0 TDI Quattro Premium Plus,Bangalore,2014,45000,37.9,11,84.22222222222223
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2013,25000,21.0,12,84.0
Land Rover Range Rover 2.2L Pure,Delhi,2014,38999,32.5,11,83.33547014026
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2012,35000,29.0,13,82.85714285714286
BMW X6 xDrive 40d,Hyderabad,2013,58000,48.0,12,82.75862068965517
Audi A4 3.0 TDI Quattro,Bangalore,2014,30000,24.5,11,81.66666666666667
Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,45.0,13,80.35714285714286
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,2013,46000,36.0,12,78.26086956521739
Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,7000,5.35,11,76.42857142857143
BMW 3 Series 320d Sport Line,Kolkata,2013,21983,16.5,12,75.05799936314425
Audi Q7 3.0 TDI Quattro Technology,Hyderabad,2014,60000,45.0,11,75.0
Audi Q5 2.0 TDI Premium Plus,Chennai,2013,44000,32.5,12,73.86363636363636
BMW 3 Series 320d Luxury Line,Hyderabad,2013,30000,22.0,12,73.33333333333333
BMW 3 Series 320d,Mumbai,2013,25000,17.99,12,71.96
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,2013,34700,24.5,12,70.60518731988472
BMW X3 xDrive20d,Coimbatore,2014,41089,28.79,11,70.06741463652072
Audi Q5 2.0 TDI Technology,Hyderabad,2014,50000,35.0,11,70.0
Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,2012,29000,20.0,13,68.96551724137932
Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,42000,28.75,14,68.45238095238095
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2014,51076,34.88,11,68.29039079019502
BMW 7 Series 2007-2012 730Ld,Hyderabad,2009,53000,36.0,16,67.9245283018868
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Kolkata,2007,43627,29.0,18,66.47259724482545
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Kolkata,2014,34233,22.5,11,65.72605380772939
BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,2014,35000,23.0,11,65.71428571428571
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,33.5,11,65.68627450980392
Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,22.0,11,64.70588235294117
BMW 7 Series 730Ld Design Pure Excellence CBU,Kolkata,2012,41100,26.5,13,64.47688564476886
Mercedes-Benz S-Class S 350 d,Bangalore,2011,47140,30.0,14,63.64022061943148
Mercedes-Benz New C-Class 220 CDI AT,Kolkata,2012,22000,14.0,13,63.63636363636363
BMW 5 Series 2010-2013 530d,Coimbatore,2012,40471,25.72,13,63.55167898001038
Mini Cooper Countryman D,Bangalore,2014,35165,22.0,11,62.562206739655906
Hyundai Verna 1.6 SX VTVT,Mumbai,2014,9200,5.75,11,62.5
Land Rover Range Rover 3.6 TDV8 Vogue SE,Coimbatore,2012,84384,52.54,13,62.26298824421691
Jaguar XF 2.2 Litre Luxury,Chennai,2014,43000,26.5,11,61.627906976744185
Land Rover Range Rover 2.2L Pure,Bangalore,2014,56000,34.5,11,61.607142857142854
Volvo V40 Cross Country D3,Bangalore,2014,32700,20.0,11,61.162079510703364
Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,18.95,12,61.12903225806452
Hyundai Verna 1.6 SX VTVT,Mumbai,2014,9000,5.5,11,61.111111111111114
Audi A6 2.0 TDI Design Edition,Kolkata,2012,27090,16.5,13,60.90808416389812
Mercedes-Benz R-Class R350 CDI 4MATIC,Hyderabad,2010,46000,28.0,15,60.869565217391305
BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2013,40714,24.75,12,60.789900280001966
Audi A6 2.0 TDI Design Edition,Hyderabad,2014,48000,29.0,11,60.416666666666664
Volvo S60 D3,Chennai,2012,20000,12.0,13,60.0
Mercedes-Benz E-Class E250 CDI Avantgrade,Delhi,2014,40000,24.0,11,60.0
Mercedes-Benz E-Class 200 Kompressor Elegance,Delhi,2014,40000,24.0,11,60.0
BMW 5 Series 525d Sedan,Mumbai,2013,35000,21.0,12,60.0
Audi A4 2.0 TDI,Bangalore,2014,37600,22.5,11,59.840425531914896
BMW 5 Series 525d Sedan,Hyderabad,2013,56000,33.5,12,59.82142857142857
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Delhi,2014,42000,24.95,11,59.404761904761905
Mercedes-Benz New C-Class C 200 AVANTGARDE,Mumbai,2013,25000,14.85,12,59.4
BMW 3 Series 330d Convertible,Mumbai,2013,49000,29.0,12,59.183673469387756
Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,40.88,17,59.1794782709401
Volkswagen Beetle 2.0,Mumbai,2009,27078,15.95,16,58.9039072309624
Hyundai Xcent 1.2 Kappa S,Mumbai,2014,7400,4.35,11,58.783783783783775
Audi A6 2011-2015 3.0 TDI Quattro Premium Plus,Pune,2012,50001,29.0,13,57.998840023199534
BMW 3 Series 330d Convertible,Kochi,2014,51240,29.52,11,57.61124121779859
Mercedes-Benz M-Class ML 250 CDI,Mumbai,2012,52000,29.95,13,57.59615384615385
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,22.95,11,57.375
Audi A4 New 2.0 TDI Multitronic,Kolkata,2008,17000,9.75,17,57.35294117647059
Porsche Cayenne Diesel,Mumbai,2013,70000,40.0,12,57.142857142857146
Volvo S60 D5 Summum,Mumbai,2013,31000,17.65,12,56.93548387096774
Mercedes-Benz S Class 2005 2013 S 350 CDI,Hyderabad,2010,37000,21.0,15,56.75675675675676
Land Rover Freelander 2 SE,Mumbai,2012,34000,19.25,13,56.61764705882353
Land Rover Freelander 2 TD4 SE,Hyderabad,2013,46000,26.0,12,56.52173913043478
Jaguar XF 2.2 Litre Luxury,Pune,2014,55001,31.0,11,56.3626115888802
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,40000,22.5,11,56.25
BMW 3 Series 320d,Kochi,2014,32982,18.55,11,56.24279910254078
Honda City i VTEC SV,Mumbai,2014,10500,5.9,11,56.19047619047619
Mercedes-Benz E-Class 200 Kompressor Elegance,Bangalore,2011,34000,19.0,14,55.88235294117647
Audi Q5 2008-2012 2.0 TDI,Delhi,2014,44999,25.0,11,55.55679015089224
BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,24.68,13,55.52305961754781
Hyundai Verna 1.6 SX VTVT,Mumbai,2014,11000,6.1,11,55.45454545454545
BMW 3 Series Luxury Line,Mumbai,2014,48000,26.5,11,55.208333333333336
Jaguar XF 2.2 Litre Luxury,Delhi,2014,48000,26.5,11,55.208333333333336
Audi Q7 3.0 TDI Quattro Premium Plus,Delhi,2014,58000,32.0,11,55.172413793103445
Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,2014,40000,22.0,11,55.0
Chevrolet Sail 1.2 LS,Mumbai,2014,10000,5.5,11,55.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Hyderabad,2014,53000,29.0,11,54.716981132075475
BMW 3 Series 320d Luxury Line,Bangalore,2014,47000,25.5,11,54.255319148936174
Hyundai Verna 1.6 SX VTVT,Mumbai,2014,11000,5.95,11,54.09090909090909
Mercedes-Benz New C-Class 220 CDI AT,Jaipur,2013,35299,19.0,12,53.82588741890705
Audi Q5 2.0 TDI Premium Plus,Bangalore,2014,53900,29.0,11,53.80333951762523
Land Rover Range Rover 2.2L Dynamic,Hyderabad,2012,56000,30.0,13,53.57142857142857
BMW 7 Series 730Ld Sedan,Chennai,2010,58000,31.0,15,53.44827586206897
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,29.5,11,52.67857142857143
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,27.0,11,52.57521176126959
Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,22.0,16,52.38095238095238
Land Rover Discovery 4 TDV6 SE,Delhi,2013,65000,34.0,12,52.30769230769231
BMW X1 sDrive20d,Kolkata,2012,22000,11.5,13,52.27272727272727
Jaguar XF 2.2 Litre Luxury,Pune,2013,46000,24.0,12,52.17391304347826
Renault Scala RxL AT,Mumbai,2013,7000,3.65,12,52.142857142857146
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2014,79000,41.0,11,51.89873417721519
Mercedes-Benz R-Class R350 4Matic Long,Kochi,2014,45710,23.68,11,51.804856705316126
BMW 7 Series 2007-2012 750Li,Kochi,2010,50161,25.93,15,51.69354677937043
BMW 3 Series 320d Luxury Line,Mumbai,2013,38000,19.5,12,51.31578947368421
Mercedes-Benz New C-Class 220 CDI MT,Chennai,2014,45000,23.0,11,51.111111111111114
BMW X5 xDrive 30d,Chennai,2011,55000,28.0,14,50.90909090909091
Maruti Ertiga ZXI,Mumbai,2014,13361,6.8,11,50.894394132175734
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,45200,23.0,12,50.88495575221239
Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,2014,46000,23.25,11,50.54347826086956
Audi Q7 3.0 TDI Quattro Premium Plus,Hyderabad,2012,79000,39.0,13,49.36708860759494
Mercedes-Benz New C-Class C 200 CGI,Bangalore,2012,33000,16.0,13,48.484848484848484
Land Rover Range Rover 3.0 D,Mumbai,2008,55001,26.5,17,48.18094216468791
Mini Cooper S Carbon Edition,Mumbai,2013,52000,25.0,12,48.07692307692308
Honda CR-V 2.0L 2WD MT,Mumbai,2014,24000,11.51,11,47.958333333333336
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,49964,23.89,11,47.81442638699864
BMW X1 sDrive 20d Sportline,Hyderabad,2014,45000,21.5,11,47.77777777777778
Jaguar XF Diesel,Kolkata,2012,43510,20.5,13,47.115605607906225
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mumbai,2014,52000,24.5,11,47.11538461538461
BMW 5 Series 2013-2017 525d Luxury Line,Bangalore,2013,58500,27.5,12,47.00854700854701
BMW 7 Series 730Ld Sedan,Coimbatore,2013,73525,34.54,12,46.977218633117985
Nissan Sunny 2011-2014 XV,Pune,2013,8000,3.75,12,46.875
BMW X5 xDrive 30d,Chennai,2011,58000,27.0,14,46.55172413793103
Land Rover Range Rover 2.2L Prestige,Coimbatore,2014,64557,29.93,11,46.36212959090416
BMW X3 xDrive20d,Bangalore,2012,52000,24.0,13,46.15384615384615
Mini Cooper S,Pune,2012,37000,17.0,13,45.945945945945944
Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Bangalore,2013,48000,22.0,12,45.833333333333336
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2014,85000,38.75,11,45.588235294117645
Mercedes-Benz M-Class ML 250 CDI,Jaipur,2014,66000,30.0,11,45.45454545454545
Mercedes-Benz B Class 2012-2015 B200 Sport CDI,Bangalore,2014,36000,16.25,11,45.138888888888886
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Jaipur,2014,41000,18.5,11,45.1219512195122
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Jaipur,2013,60000,27.0,12,45.0
BMW 3 Series 320d Sport,Chennai,2014,48000,21.6,11,45.0
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2014,72469,32.52,11,44.874360071202865
Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,41367,18.49,13,44.69746416225493
BMW 3 Series 320d Prestige,Mumbai,2013,37500,16.75,12,44.666666666666664
BMW 5 Series 2003-2012 GT 530d LE,Coimbatore,2011,57832,25.82,14,44.646562456771335
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Jaipur,2014,59364,26.5,11,44.639849066774474
Skoda Octavia Elegance 2.0 TDI AT,Hyderabad,2014,36000,16.0,11,44.44444444444444
Honda CR-V AT With Sun Roof,Kolkata,2013,27000,11.99,12,44.407407407407405
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kolkata,2014,40000,17.5,11,43.75
Mercedes-Benz M-Class ML 350 CDI,Mumbai,2012,51000,22.25,13,43.627450980392155
Mercedes-Benz E-Class E 200 CGI,Mumbai,2013,50319,21.95,12,43.621693594864766
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,17.74,12,43.61937546102778
BMW 3 Series 320d Corporate Edition,Kolkata,2013,38998,17.0,12,43.59197907585004
BMW 3 Series 320d,Hyderabad,2013,48183,20.99,12,43.56308241495963
BMW 5 Series 2003-2012 523i,Kolkata,2011,31000,13.5,14,43.54838709677419
Audi Q5 2008-2012 2.0 TDI,Bangalore,2011,53000,23.0,14,43.39622641509434
Mercedes-Benz M-Class ML 350 CDI,Hyderabad,2012,83000,36.0,13,43.373493975903614
Mini Cooper Countryman D,Hyderabad,2013,51000,21.94,12,43.01960784313726
Audi A6 35 TDI Matrix,Delhi,2014,56000,24.0,11,42.857142857142854
Mini Cooper Countryman D High,Coimbatore,2014,45535,19.41,11,42.62655100472164
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,51495,21.95,11,42.62549762112827
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2013,45979,19.5,12,42.410665738706804
Volvo S60 D4 Momentum,Hyderabad,2014,51000,21.5,11,42.15686274509804
Audi A6 3.0 TDI quattro,Bangalore,2011,50000,21.0,14,42.0
Skoda Octavia Ambition 1.4 TSI MT,Mumbai,2013,21000,8.75,12,41.666666666666664
Audi Q7 3.0 TDI Quattro Technology,Hyderabad,2012,88000,36.5,13,41.47727272727273
Audi A7 2011-2015 3.0 TDI Quattro,Kochi,2014,60336,24.94,11,41.33518960487934
Mercedes-Benz B Class B180,Delhi,2013,28000,11.56,12,41.285714285714285
Mercedes-Benz M-Class ML 350 4Matic,Chennai,2012,63000,26.0,13,41.26984126984127
Mercedes-Benz M-Class ML 350 CDI Corporate,Bangalore,2011,54000,21.99,14,40.72222222222222
BMW X1 sDrive20d,Mumbai,2013,43000,17.5,12,40.69767441860465
BMW 3 Series 320d Sport,Mumbai,2012,37000,15.0,13,40.54054054054054
Mercedes-Benz E-Class E350 CDI,Delhi,2014,68000,27.5,11,40.44117647058823
Mercedes-Benz S Class 2005 2013 S 350 L,Bangalore,2006,47088,19.0,19,40.34998301053347
Audi A6 35 TDI Matrix,Hyderabad,2014,62000,25.0,11,40.32258064516129
Audi Q5 2.0 TDI,Hyderabad,2013,72000,29.0,12,40.27777777777778
Audi A4 2.0 TDI,Hyderabad,2014,60000,24.0,11,40.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,17.95,11,39.919937729345044
Toyota Etios Liva V,Mumbai,2013,8950,3.55,12,39.66480446927374
BMW 5 Series 520d Luxury Line,Ahmedabad,2013,55000,21.75,12,39.54545454545455
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2012,49000,19.25,13,39.285714285714285
Land Rover Freelander 2 HSE SD4,Ahmedabad,2012,60000,23.5,13,39.166666666666664
Mini Cooper 5 DOOR D,Hyderabad,2014,60000,23.5,11,39.166666666666664
Audi A4 2.0 TDI,Delhi,2013,36000,14.0,12,38.888888888888886
Mercedes-Benz B Class B180,Delhi,2013,29000,11.25,12,38.793103448275865
BMW 3 Series 328i Sport Line,Pune,2013,49000,19.0,12,38.775510204081634
Audi A4 2.0 TDI Multitronic,Hyderabad,2014,53000,20.5,11,38.679245283018865
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,29813,11.5,14,38.57377654043538
BMW 3 Series 318i Sedan,Pune,2012,39000,15.0,13,38.46153846153846
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Chennai,2011,43800,16.75,14,38.242009132420094
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Chennai,2013,100000,38.0,12,38.0
Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,14.0,12,37.83783783783784
Mitsubishi Pajero Sport Anniversary Edition,Kolkata,2014,39163,14.7,11,37.53542884865817
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,57456,21.56,11,37.52436647173489
Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,2014,12400,4.65,11,37.50000000000001
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,27.0,11,37.5
Audi A4 2.0 TDI,Hyderabad,2013,52000,19.5,12,37.5
Mercedes-Benz GLA Class 200 CDI,Kolkata,2014,52000,19.5,11,37.5
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,66882,25.02,11,37.40916838611285
Jaguar XF Diesel,Bangalore,2013,75000,27.95,12,37.266666666666666
Audi Q7 4.2 TDI Quattro Technology,Kochi,2014,79926,29.77,11,37.24695343192453
BMW 5 Series 520d Luxury Line,Coimbatore,2014,60280,22.45,11,37.242866622428664
BMW X6 xDrive30d,Delhi,2011,59000,21.9,14,37.11864406779661
BMW 3 Series 320d Luxury Line,Kochi,2013,37613,13.95,12,37.088240767819634
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,9500,3.5,11,36.8421052631579
Audi Q3 2.0 TDI,Mumbai,2013,60000,22.0,12,36.666666666666664
BMW X5 xDrive 30d,Hyderabad,2011,75000,27.5,14,36.666666666666664
Mercedes-Benz B Class B180,Delhi,2013,30000,11.0,12,36.666666666666664
BMW 5 Series 530i Sedan,Kolkata,2010,24000,8.75,15,36.458333333333336
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,2014,35000,12.75,11,36.42857142857143
Mercedes-Benz New C-Class 200 CDI Elegance,Bangalore,2013,51000,18.5,12,36.27450980392157
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,40000,14.5,14,36.25
Mercedes-Benz New C-Class 220 CDI AT,Delhi,2013,40100,14.5,12,36.15960099750623
Maruti Ertiga VXI,Delhi,2014,17585,6.35,11,36.11032129655957
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Hyderabad,2013,63716,23.0,12,36.0976834703999
BMW 5 Series 520d Luxury Line,Ahmedabad,2010,46000,16.5,15,35.869565217391305
Mercedes-Benz S-Class 320 L,Mumbai,2006,30000,10.75,19,35.833333333333336
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,28.0,11,35.6687898089172
Mercedes-Benz New C-Class 220 CDI AT,Delhi,2012,38000,13.51,13,35.55263157894737
BMW 7 Series 730Ld,Mumbai,2011,55000,19.5,14,35.45454545454545
Honda Brio S MT,Ahmedabad,2013,11000,3.9,12,35.45454545454545
Mercedes-Benz M-Class ML 350 CDI Corporate,Coimbatore,2012,63888,22.58,13,35.34310042574506
Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,13.0,12,35.13513513513514
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2013,56500,19.8,12,35.04424778761062
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,50000,17.5,13,35.0
Audi Q3 2.0 TDI Quattro,Hyderabad,2013,60000,21.0,12,35.0
Mercedes-Benz M-Class ML 350 4Matic,Ahmedabad,2012,66000,23.0,13,34.84848484848485
Jaguar XF Diesel,Coimbatore,2014,82536,28.63,11,34.68789376756809
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2014,57773,20.04,11,34.68748377269659
Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,13710,4.75,11,34.646243617797225
Mercedes-Benz New C-Class 230 Avantgarde,Hyderabad,2009,29000,10.0,16,34.48275862068966
Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,10.5,15,34.42622950819672
Mercedes-Benz B Class B180,Delhi,2013,32000,11.0,12,34.375
Audi A4 3.0 TDI Quattro Premium,Coimbatore,2012,46913,16.11,13,34.34016157568265
Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,23.99,12,34.183040994001225
BMW 3 Series 320d Highline,Bangalore,2014,69330,23.5,11,33.895860377902785
Audi Q3 2.0 TDI Quattro,Kolkata,2013,45000,15.25,12,33.888888888888886
Hyundai Santa Fe 2WD AT,Bangalore,2014,48000,16.25,11,33.854166666666664
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,61726,20.77,11,33.648705569776105
BMW 3 Series 320d,Hyderabad,2013,58000,19.5,12,33.62068965517241
Land Rover Freelander 2 SE,Kochi,2014,59885,20.11,11,33.581030308090504
BMW 5 Series 520d Luxury Line,Coimbatore,2011,51602,17.27,14,33.46769505057944
