Name,Location,Year,Kilometers_Driven,Price,Car_Age
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,8.63,7
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,4.85,8
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,28.0,12
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,5.0,12
Maruti Alto LXi,Delhi,2008,90000,1.25,17
Tata Nano LX SE,Kochi,2014,19698,1.53,11
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,5.58,8
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,4.74,11
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,8.85,11
Toyota Corolla Altis G AT,Mumbai,2016,52001,10.11,9
Hyundai Elantra CRDi,Ahmedabad,2008,58005,4.25,17
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,10.95,13
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,3.85,11
Mahindra Thar CRDe AC,Jaipur,2012,75800,5.5,13
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,21.43,10
Maruti Swift LDI,Delhi,2014,52000,4.25,11
Maruti Swift Ldi BSIV,Kolkata,2014,53000,3.3,11
Maruti Swift VDI,Delhi,2013,65650,3.85,12
Hyundai Grand i10 Sportz,Chennai,2015,54000,3.6,10
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,3.99,10
Renault KWID RXT,Kochi,2017,16542,3.3,8
Hyundai i10 Asta,Kolkata,2010,32000,2.07,15
Nissan X-Trail SLX AT,Hyderabad,2010,121812,7.75,15
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,2.25,15
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,16.5,8
Ford Figo Diesel Titanium,Bangalore,2010,72000,2.75,15
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,26.7,10
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,10.0,14
Tata Indica V2 eLS,Chennai,2016,178000,2.5,9
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,13.5,13
Honda City ZX CVT,Mumbai,2007,63000,1.85,18
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,35.67,6
Maruti Ertiga SHVS VDI,Pune,2016,63000,8.15,9
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,10.5,7
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,14.5,17
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,9.65,10
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,3.48,13
Nissan Terrano XV D Pre,Kochi,2015,56066,6.92,10
Honda Brio VX AT,Coimbatore,2016,37300,6.46,9
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,29.5,11
Toyota Innova 2.0 G1,Chennai,2006,230000,4.5,19
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,11.75,13
Maruti Swift VDI,Jaipur,2012,95100,3.75,13
Tata Zest Revotron 1.2T XE,Pune,2017,70000,4.5,8
Honda Amaze SX i-VTEC,Kochi,2016,54944,4.82,9
Ford Figo Diesel ZXI,Hyderabad,2012,70337,2.8,13
Maruti Ritz VDi,Jaipur,2013,99638,3.11,12
Honda City i VTEC E,Delhi,2009,52000,3.25,16
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,13.9,14
Hyundai i10 Sportz 1.2,Pune,2009,95980,2.25,16
Hyundai Grand i10 Sportz,Bangalore,2016,16000,5.75,9
Honda Amaze SX i-VTEC,Mumbai,2016,18949,5.0,9
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,16.5,11
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,39.58,7
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,5.5,12
Mahindra XUV500 W8 2WD,Delhi,2014,58000,8.1,11
Honda Amaze SX i-DTEC,Kolkata,2015,30000,3.5,10
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,2.79,12
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,3.45,15
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,4.45,9
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,2.65,15
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,3.8,14
Hyundai i20 Asta 1.2,Mumbai,2014,30180,4.65,11
Datsun GO Plus T Petrol,Pune,2017,32851,3.95,8
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,9.8,15
Hyundai i20 2015-2017 Asta,Pune,2009,66000,2.7,16
Maruti Omni 5 Str STD,Coimbatore,2010,93850,2.41,15
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,3.9,11
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,24.0,14
Mahindra XUV500 W8 2WD,Delhi,2012,65000,5.75,13
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,5.25,11
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,19.25,8
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,3.91,8
Tata Nano Twist XT,Bangalore,2014,25500,2.15,11
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,20.75,10
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,3.35,15
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,11.11,11
Volvo V40 Cross Country D3,Bangalore,2014,32700,20.0,11
Nissan Micra XV CVT,Coimbatore,2016,39882,6.55,9
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,7.0,16
Maruti Vitara Brezza VDi,Mumbai,2016,55000,7.5,9
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,16.75,11
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,10.95,7
Maruti Wagon R LXI BS IV,Pune,2011,43874,2.45,14
Tata Nano XTA,Coimbatore,2017,32684,3.23,8
Mahindra Scorpio VLX,Kolkata,2014,42000,7.75,11
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,9.35,16
Honda CR-V 2.4 MT,Bangalore,2007,47700,5.25,18
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,7.25,10
Maruti Ciaz VXi Plus,Kochi,2017,44285,7.47,8
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,13.25,9
Maruti Ritz VXI ABS,Coimbatore,2016,30232,5.81,9
Maruti Alto K10 VXI,Hyderabad,2014,88500,2.6,11
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,54.0,8
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,11.5,6
Maruti Alto LXi BSIII,Chennai,2010,94385,1.6,15
BMW 1 Series 118d Base,Coimbatore,2015,31821,17.22,10
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,6.0,10
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,3.95,13
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,17.95,11
Honda Amaze SX i-DTEC,Kolkata,2014,45044,3.7,11
Maruti Swift VVT VXI,Kochi,2016,34204,5.43,9
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,13.49,13
Chevrolet Beat LT Option,Pune,2014,38800,2.85,11
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,4.75,12
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,9.9,7
Audi RS5 Coupe,Mumbai,2013,23000,37.0,12
BMW 3 Series Luxury Line,Mumbai,2014,48000,26.5,11
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,23.32,10
Maruti Swift VDI,Chennai,2016,35000,6.25,9
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,30.0,15
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,9.86,9
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,8.5,13
Hyundai EON Magna Plus,Kochi,2019,14322,4.23,6
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,3.5,13
Datsun GO NXT,Kolkata,2016,6000,2.5,9
Honda Brio S MT,Kolkata,2013,33280,2.39,12
Mercedes-Benz B Class B180,Delhi,2013,29000,11.25,12
Honda City i DTEC V,Kochi,2015,42831,7.11,10
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,10.9,9
Maruti Swift VXI Optional,Ahmedabad,2017,24005,6.2,8
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,7.9,13
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,4.42,11
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,13.5,13
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,6.25,12
Ford Figo Diesel Titanium,Jaipur,2010,66123,2.1,15
BMW X5 xDrive 30d,Mumbai,2015,41000,45.0,10
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,33.66,8
Honda Brio V MT,Bangalore,2012,45000,3.65,13
Hyundai i10 Magna 1.2,Delhi,2013,60000,2.75,12
Mercedes-Benz GLC 220,Bangalore,2016,44414,42.5,9
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,6.5,6
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,19.0,13
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,4.45,12
Mini Countryman Cooper D,Jaipur,2017,8525,23.0,8
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,8.35,11
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,22.95,11
Chevrolet Beat Diesel LT,Jaipur,2012,88000,1.5,13
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,6.89,13
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,1.45,19
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,33.5,11
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,1.25,18
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,4.2,13
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,6.75,10
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,32.0,11
Maruti Baleno Alpha,Kochi,2017,24773,7.5,8
Hyundai Verna 1.6 SX,Delhi,2012,62000,4.6,13
Hyundai i10 Magna 1.1,Kochi,2017,52340,4.04,8
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,10.31,9
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,55.76,7
Ford Figo Diesel ZXI,Chennai,2010,120000,2.6,15
Maruti Ertiga ZDI,Mumbai,2016,33000,8.5,9
Honda City 1.5 GXI,Ahmedabad,2007,60006,2.95,18
Honda Amaze S i-Dtech,Kolkata,2014,52000,3.5,11
Hyundai i10 Magna,Jaipur,2015,43571,3.55,10
Honda Amaze S i-Dtech,Kolkata,2013,50000,3.25,12
Skoda Laura Ambiente,Hyderabad,2008,113000,4.5,17
Renault Duster 85PS Diesel RxL,Delhi,2014,90000,5.35,11
Mahindra NuvoSport N6,Chennai,2017,29000,6.5,8
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,9.0,9
Hyundai i20 Asta Option 1.2,Kochi,2016,61012,6.0,9
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,2.75,16
Tata Indigo eCS GLX,Pune,2010,70500,1.5,15
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,19.9,10
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,10.0,11
Toyota Etios Liva GD SP,Delhi,2014,104000,3.0,11
Maruti Swift 1.3 VXi,Kolkata,2010,42001,2.11,15
Mercedes-Benz B Class B180,Kochi,2014,37245,11.96,11
Honda Amaze S Diesel,Kolkata,2013,45000,3.25,12
Hyundai Verna 1.6 SX,Jaipur,2012,117837,4.75,13
Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,5.95,11
Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,8.15,10
Maruti Wagon R AMT VXI,Mumbai,2016,8500,4.22,9
Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,10.5,15
Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,45.0,13
Hyundai i10 Magna 1.1,Pune,2012,44000,2.9,13
Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,8.9,8
Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,26.0,8
Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,8.22,7
Honda Amaze VX i-DTEC,Kolkata,2014,64000,3.5,11
Maruti Wagon R LXI,Chennai,2004,61000,1.25,21
Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,3.7,12
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,39.41,7
Maruti Wagon R VXI,Kolkata,2013,32000,2.65,12
Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,46173,8.92,10
Mini Cooper Convertible S,Kochi,2017,26327,35.67,8
Ford Figo Diesel,Bangalore,2015,70436,3.6,10
Tata Indica V2 DLS BSII,Jaipur,2007,200000,0.85,18
Chevrolet Beat LT,Kochi,2016,60813,3.32,9
Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,3.6,13
Maruti Swift ZDi,Hyderabad,2016,64000,6.8,9
Ford Figo Diesel EXI,Kolkata,2012,41284,2.5,13
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,19.64,6
Hyundai Santa Fe 4x4 AT,Mumbai,2011,67000,7.0,14
Honda City i-VTEC V,Kolkata,2011,32572,3.87,14
Hyundai i20 1.2 Magna Executive,Kochi,2018,14960,6.27,7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Kochi,2015,55980,18.12,10
Chevrolet Beat Diesel LT,Mumbai,2013,74000,2.65,12
Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,56847,7.2,10
Toyota Innova 2.5 Z Diesel 7 Seater,Coimbatore,2015,121374,14.3,10
Maruti Ertiga VDI,Chennai,2013,52000,6.9,12
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2014,118000,10.75,11
Honda City i VTEC V,Kochi,2016,33915,8.09,9
BMW X1 sDrive20d,Ahmedabad,2014,82002,18.5,11
Hyundai Grand i10 CRDi Era,Mumbai,2017,33000,4.75,8
Maruti Ciaz 1.3 Alpha,Chennai,2016,34000,8.45,9
Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,55000,3.5,13
Hyundai Accent CRDi,Kochi,2006,160538,1.8,19
Volkswagen Polo GT 1.5 TDI,Jaipur,2014,60000,3.7,11
Honda Jazz 1.2 VX i VTEC,Coimbatore,2017,49575,7.17,8
Hyundai i10 Era,Jaipur,2010,83000,1.75,15
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,51346,21.99,7
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,18.65,8
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,2011,35000,1.85,14
Maruti Swift VXI BSIV,Coimbatore,2017,27872,5.95,8
Hyundai Grand i10 Magna,Mumbai,2014,16514,3.75,11
Maruti Swift VDI,Pune,2012,120000,3.75,13
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,2.6,17
Hyundai i20 1.2 Sportz,Mumbai,2010,52000,2.8,15
Mercedes-Benz GLE 350d,Coimbatore,2017,29819,61.29,8
Mercedes-Benz New C-Class C 220 CDI CLASSIC,Bangalore,2014,57000,18.0,11
Maruti Ritz ZDi,Hyderabad,2014,88500,4.35,11
Hyundai Creta 1.6 CRDi SX,Bangalore,2016,28000,13.75,9
Maruti A-Star Vxi,Pune,2010,67000,2.0,15
Renault Duster 110PS Diesel RXZ Option,Delhi,2016,26000,10.0,9
Fiat Grande Punto 1.3 Emotion Pack (Diesel),Delhi,2010,120000,1.65,15
BMW X3 xDrive30d M Sport,Coimbatore,2017,51982,45.77,8
Hyundai i10 Sportz,Bangalore,2010,36000,3.25,15
Toyota Innova 2.5 G4 Diesel 7-seater,Pune,2016,47000,12.8,9
Maruti Zen VXI BSII,Mumbai,2002,60000,0.55,23
Maruti Swift VDI,Hyderabad,2018,31025,7.15,7
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,Pune,2013,105000,7.0,12
Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,3.75,8
Ford EcoSport 1.0 Ecoboost Titanium Plus,Mumbai,2017,22695,8.5,8
Maruti Swift Dzire ZDI,Jaipur,2012,73000,4.35,13
Maruti Alto 800 LXI,Kochi,2016,32227,3.26,9
Honda City 1.5 S MT,Jaipur,2011,55000,4.21,14
Audi Q7 3.0 TDI Quattro Technology,Kochi,2018,11287,70.36,7
Skoda Laura 1.9 TDI AT Ambiente,Mumbai,2009,48000,2.95,16
Hyundai Verna 1.6 SX VTVT (O),Kochi,2012,54308,4.28,13
Honda City 1.5 V AT,Jaipur,2009,78442,3.57,16
Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,46000,3.11,12
Hyundai i20 Sportz AT 1.4,Coimbatore,2014,45051,5.96,11
Volkswagen Vento Diesel Highline,Hyderabad,2011,69000,4.7,14
Honda City i VTEC VX,Ahmedabad,2014,49000,6.9,11
Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,5.25,7
BMW 5 Series 2003-2012 520d,Pune,2015,64000,28.0,10
Maruti Wagon R LXI Minor,Delhi,2009,60000,1.35,16
Honda Jazz VX,Delhi,2015,62178,4.85,10
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Coimbatore,2012,58006,6.7,13
Hyundai i10 Magna 1.2,Hyderabad,2010,74000,3.1,15
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2015,77771,18.64,10
Hyundai i10 Magna 1.2 iTech SE,Pune,2012,45275,2.8,13
Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,20.25,9
Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,31652,26.78,10
Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2010,109000,8.26,15
Volkswagen Polo Petrol Trendline 1.2L,Mumbai,2015,31978,3.89,10
Maruti Alto K10 LXI,Hyderabad,2011,70000,2.1,14
Honda City i-VTEC CVT ZX,Mumbai,2017,15000,12.69,8
Tata Indigo LX,Coimbatore,2013,59138,2.58,12
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,61726,20.77,11
Mercedes-Benz GLA Class 200 CDI SPORT,Delhi,2015,48000,20.26,10
Maruti Celerio VXI AT,Hyderabad,2014,77815,4.25,11
Mercedes-Benz GLE 250d,Hyderabad,2017,29000,57.0,8
Land Rover Range Rover HSE Dynamic,Delhi,2017,44000,44.0,8
Volkswagen Vento Diesel Trendline,Hyderabad,2011,108626,3.65,14
Maruti Omni 8 Seater BSIV,Hyderabad,2012,71791,2.05,13
Honda Brio 1.2 VX MT,Kochi,2012,91931,3.13,13
Tata Sumo Delux,Hyderabad,2000,158000,1.5,25
Tata Indica Vista Aura 1.3 Quadrajet,Pune,2012,91183,2.85,13
Maruti Wagon R LXI BS IV,Delhi,2012,65000,2.65,13
Mahindra XUV500 W8 4WD,Hyderabad,2015,88428,10.6,10
Tata Indigo LS Dicor,Pune,2008,138000,1.25,17
Maruti Ertiga Paseo VXI,Mumbai,2018,18000,8.25,7
Honda Accord 2.4 A/T,Mumbai,2011,60000,4.45,14
Maruti Swift Dzire VDi,Kolkata,2012,48000,3.7,13
Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2009,160000,2.8,16
Honda City ZX GXi,Kolkata,2008,40000,1.8,17
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,51495,21.95,11
BMW 6 Series 640d Gran Coupe,Mumbai,2011,30000,49.0,14
Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,62.67,8
Hyundai i20 1.4 CRDi Asta,Pune,2012,83000,5.5,13
Hyundai i10 Sportz AT,Bangalore,2009,37000,2.95,16
Honda Jazz 1.2 V CVT i VTEC,Kochi,2016,28503,6.86,9
Maruti Swift VDI BSIV,Hyderabad,2015,76496,6.15,10
Hyundai i20 Asta 1.2,Pune,2011,79152,3.3,14
Volkswagen Polo Petrol Comfortline 1.2L,Kolkata,2011,32000,2.55,14
Maruti Alto LXi,Ahmedabad,2009,35000,1.5,16
Toyota Corolla H4,Chennai,2004,105000,2.5,21
Maruti Alto LXi,Chennai,2006,56000,1.4,19
Tata Manza ELAN Quadrajet BS IV,Pune,2012,73000,3.4,13
Maruti Alto LXi,Pune,2012,38000,2.25,13
Skoda Octavia Ambition Plus 2.0 TDI AT,Kolkata,2013,775000,7.5,12
Toyota Corolla H4,Kolkata,2008,80000,2.8,17
Hyundai i20 Asta Option 1.2,Coimbatore,2016,24973,7.66,9
Maruti Vitara Brezza LDi,Chennai,2016,45000,7.15,9
Honda City 1.5 V MT,Delhi,2010,87430,3.5,15
Tata Indica Vista Aqua 1.3 Quadrajet,Hyderabad,2014,133944,3.5,11
Honda Amaze S i-Dtech,Kolkata,2013,57000,3.45,12
Hyundai EON D Lite Plus,Coimbatore,2016,27904,3.55,9
BMW 3 Series Luxury Line,Kochi,2015,30717,25.99,10
Hyundai Verna 1.6 SX,Bangalore,2012,80000,5.25,13
Tata Manza Club Class Quadrajet90 LS,Ahmedabad,2013,47304,2.9,12
Skoda Octavia RS,Jaipur,2005,100000,2.05,20
Maruti Alto K10 VXI,Pune,2017,30000,3.75,8
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,68000,6.75,11
Chevrolet Spark 1.0 LS,Kolkata,2011,21000,0.95,14
Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,52.0,8
Honda CR-V RVi MT,Jaipur,2007,119000,3.91,18
Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,27.3,6
Hyundai i10 Magna 1.2,Chennai,2009,620000,2.7,16
Maruti Swift LDI,Delhi,2013,70000,3.5,12
Maruti Swift Dzire VXi AT,Mumbai,2016,18000,6.2,9
Nissan Micra Diesel XV,Chennai,2011,83000,2.75,14
Maruti Swift Dzire Tour LDI,Mumbai,2015,130000,3.25,10
Ford Fiesta Classic 1.4 Duratorq CLXI,Pune,2012,63400,3.25,13
Maruti Zen LX,Kolkata,2003,65000,0.65,22
Mini Clubman Cooper S,Pune,2017,8350,35.0,8
Toyota Etios GD,Kolkata,2014,45000,3.25,11
Maruti Alto 800 2016-2019 LXI,Kolkata,2018,26200,2.9,7
Maruti Alto VXi,Bangalore,2011,11000,2.9,14
BMW X5 3.0d,Bangalore,2009,90000,17.75,16
Nissan Teana XV,Mumbai,2015,74000,8.25,10
Hyundai Grand i10 AT Asta,Coimbatore,2015,37081,5.77,10
Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,9.49,8
Audi Q7 3.0 TDI Quattro Premium Plus,Mumbai,2008,99000,12.95,17
Mercedes-Benz GLA Class 200 CDI,Chennai,2015,38000,20.0,10
Maruti 800 AC,Chennai,2007,72000,1.0,18
Renault Duster 85PS Diesel RxL,Chennai,2015,93000,7.1,10
Toyota Corolla Altis D-4D GL,Mumbai,2017,5900,16.5,8
Mercedes-Benz New C-Class 220,Chennai,2014,25000,26.0,11
Maruti Ritz VDi,Hyderabad,2010,68000,3.2,15
Honda BRV i-VTEC V CVT,Kochi,2017,35676,9.48,8
Hyundai Xcent 1.1 CRDi Base,Kochi,2015,74310,4.0,10
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Jaipur,2014,59364,26.5,11
Mercedes-Benz B Class B180,Kochi,2014,41380,11.77,11
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Bangalore,2017,33900,37.0,8
Honda City i VTEC VX Option,Mumbai,2016,28000,8.75,9
Honda City 1.5 S MT,Chennai,2011,93982,3.75,14
Hyundai Verna Transform VTVT,Pune,2010,95000,2.5,15
Jaguar XE Portfolio,Mumbai,2017,9000,34.5,8
Honda Amaze S i-Vtech,Delhi,2015,52516,4.65,10
Mini Cooper Convertible 1.6,Bangalore,2015,20000,32.0,10
Mercedes-Benz S Class 2005 2013 S 350 CDI,Coimbatore,2017,56451,62.81,8
Hyundai EON Magna Plus,Chennai,2014,37000,3.25,11
Maruti Wagon R VXI BS IV,Kolkata,2014,17400,3.1,11
Maruti Ritz LDi,Coimbatore,2011,90207,3.91,14
BMW 3 Series 320d Sedan,Chennai,2011,89616,11.0,14
Tata Xenon XT EX 4X2,Pune,2014,85000,3.5,11
Audi A3 35 TDI Attraction,Chennai,2014,79271,16.5,11
Land Rover Range Rover 2.2L Dynamic,Hyderabad,2012,56000,30.0,13
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2010,85001,28.0,15
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,28.0,7
Maruti Alto LX,Jaipur,2010,125000,0.92,15
