Name,Location,Year,Kilometers_Driven,Price,Car_Age
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,8.85,11
Hyundai Elantra CRDi,Ahmedabad,2008,58005,4.25,17
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,10.95,13
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,3.85,11
Mahindra Thar CRDe AC,Jaipur,2012,75800,5.5,13
Maruti Swift LDI,Delhi,2014,52000,4.25,11
Maruti Swift Ldi BSIV,Kolkata,2014,53000,3.3,11
Maruti Swift VDI,Delhi,2013,65650,3.85,12
Hyundai i10 Asta,Kolkata,2010,32000,2.07,15
Nissan X-Trail SLX AT,Hyderabad,2010,121812,7.75,15
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,2.25,15
Ford Figo Diesel Titanium,Bangalore,2010,72000,2.75,15
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,10.0,14
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,13.5,13
Honda City ZX CVT,Mumbai,2007,63000,1.85,18
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,14.5,17
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,3.48,13
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,29.5,11
Toyota Innova 2.0 G1,Chennai,2006,230000,4.5,19
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,11.75,13
Maruti Swift VDI,Jaipur,2012,95100,3.75,13
Ford Figo Diesel ZXI,Hyderabad,2012,70337,2.8,13
Maruti Ritz VDi,Jaipur,2013,99638,3.11,12
Honda City i VTEC E,Delhi,2009,52000,3.25,16
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,13.9,14
Hyundai i10 Sportz 1.2,Pune,2009,95980,2.25,16
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,16.5,11
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,5.5,12
Mahindra XUV500 W8 2WD,Delhi,2014,58000,8.1,11
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,2.79,12
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,3.45,15
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,2.65,15
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,3.8,14
Hyundai i20 Asta 1.2,Mumbai,2014,30180,4.65,11
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,9.8,15
Hyundai i20 2015-2017 Asta,Pune,2009,66000,2.7,16
Maruti Omni 5 Str STD,Coimbatore,2010,93850,2.41,15
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,3.9,11
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,24.0,14
Mahindra XUV500 W8 2WD,Delhi,2012,65000,5.75,13
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,5.25,11
Tata Nano Twist XT,Bangalore,2014,25500,2.15,11
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,3.35,15
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,11.11,11
Volvo V40 Cross Country D3,Bangalore,2014,32700,20.0,11
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,7.0,16
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,16.75,11
Maruti Wagon R LXI BS IV,Pune,2011,43874,2.45,14
Mahindra Scorpio VLX,Kolkata,2014,42000,7.75,11
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,9.35,16
Honda CR-V 2.4 MT,Bangalore,2007,47700,5.25,18
Maruti Alto K10 VXI,Hyderabad,2014,88500,2.6,11
Maruti Alto LXi BSIII,Chennai,2010,94385,1.6,15
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,3.95,13
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,17.95,11
Honda Amaze SX i-DTEC,Kolkata,2014,45044,3.7,11
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,13.49,13
Chevrolet Beat LT Option,Pune,2014,38800,2.85,11
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,4.75,12
Audi RS5 Coupe,Mumbai,2013,23000,37.0,12
BMW 3 Series Luxury Line,Mumbai,2014,48000,26.5,11
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,30.0,15
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,8.5,13
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,3.5,13
Honda Brio S MT,Kolkata,2013,33280,2.39,12
Mercedes-Benz B Class B180,Delhi,2013,29000,11.25,12
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,7.9,13
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,4.42,11
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,13.5,13
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,6.25,12
Ford Figo Diesel Titanium,Jaipur,2010,66123,2.1,15
Honda Brio V MT,Bangalore,2012,45000,3.65,13
Hyundai i10 Magna 1.2,Delhi,2013,60000,2.75,12
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,19.0,13
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,4.45,12
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,8.35,11
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,22.95,11
Chevrolet Beat Diesel LT,Jaipur,2012,88000,1.5,13
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,6.89,13
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,1.45,19
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,33.5,11
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,1.25,18
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,4.2,13
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,32.0,11
Hyundai Verna 1.6 SX,Delhi,2012,62000,4.6,13
Ford Figo Diesel ZXI,Chennai,2010,120000,2.6,15
Honda City 1.5 GXI,Ahmedabad,2007,60006,2.95,18
Honda Amaze S i-Dtech,Kolkata,2014,52000,3.5,11
Honda Amaze S i-Dtech,Kolkata,2013,50000,3.25,12
Skoda Laura Ambiente,Hyderabad,2008,113000,4.5,17
Renault Duster 85PS Diesel RxL,Delhi,2014,90000,5.35,11
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,2.75,16
Tata Indigo eCS GLX,Pune,2010,70500,1.5,15
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,10.0,11
Toyota Etios Liva GD SP,Delhi,2014,104000,3.0,11
Maruti Swift 1.3 VXi,Kolkata,2010,42001,2.11,15
Mercedes-Benz B Class B180,Kochi,2014,37245,11.96,11
Honda Amaze S Diesel,Kolkata,2013,45000,3.25,12
Hyundai Verna 1.6 SX,Jaipur,2012,117837,4.75,13
Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,5.95,11
Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,10.5,15
Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,45.0,13
Hyundai i10 Magna 1.1,Pune,2012,44000,2.9,13
Honda Amaze VX i-DTEC,Kolkata,2014,64000,3.5,11
Maruti Wagon R LXI,Chennai,2004,61000,1.25,21
Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,3.7,12
Maruti Wagon R VXI,Kolkata,2013,32000,2.65,12
Tata Indica V2 DLS BSII,Jaipur,2007,200000,0.85,18
Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,3.6,13
Ford Figo Diesel EXI,Kolkata,2012,41284,2.5,13
Hyundai Santa Fe 4x4 AT,Mumbai,2011,67000,7.0,14
Honda City i-VTEC V,Kolkata,2011,32572,3.87,14
Chevrolet Beat Diesel LT,Mumbai,2013,74000,2.65,12
Maruti Ertiga VDI,Chennai,2013,52000,6.9,12
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2014,118000,10.75,11
BMW X1 sDrive20d,Ahmedabad,2014,82002,18.5,11
Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,55000,3.5,13
Hyundai Accent CRDi,Kochi,2006,160538,1.8,19
Volkswagen Polo GT 1.5 TDI,Jaipur,2014,60000,3.7,11
Hyundai i10 Era,Jaipur,2010,83000,1.75,15
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,2011,35000,1.85,14
Hyundai Grand i10 Magna,Mumbai,2014,16514,3.75,11
Maruti Swift VDI,Pune,2012,120000,3.75,13
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,2.6,17
Hyundai i20 1.2 Sportz,Mumbai,2010,52000,2.8,15
Mercedes-Benz New C-Class C 220 CDI CLASSIC,Bangalore,2014,57000,18.0,11
Maruti Ritz ZDi,Hyderabad,2014,88500,4.35,11
Maruti A-Star Vxi,Pune,2010,67000,2.0,15
Fiat Grande Punto 1.3 Emotion Pack (Diesel),Delhi,2010,120000,1.65,15
Hyundai i10 Sportz,Bangalore,2010,36000,3.25,15
Maruti Zen VXI BSII,Mumbai,2002,60000,0.55,23
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,Pune,2013,105000,7.0,12
Maruti Swift Dzire ZDI,Jaipur,2012,73000,4.35,13
Honda City 1.5 S MT,Jaipur,2011,55000,4.21,14
Skoda Laura 1.9 TDI AT Ambiente,Mumbai,2009,48000,2.95,16
Hyundai Verna 1.6 SX VTVT (O),Kochi,2012,54308,4.28,13
Honda City 1.5 V AT,Jaipur,2009,78442,3.57,16
Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,46000,3.11,12
Hyundai i20 Sportz AT 1.4,Coimbatore,2014,45051,5.96,11
Volkswagen Vento Diesel Highline,Hyderabad,2011,69000,4.7,14
Honda City i VTEC VX,Ahmedabad,2014,49000,6.9,11
Maruti Wagon R LXI Minor,Delhi,2009,60000,1.35,16
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Coimbatore,2012,58006,6.7,13
Hyundai i10 Magna 1.2,Hyderabad,2010,74000,3.1,15
Hyundai i10 Magna 1.2 iTech SE,Pune,2012,45275,2.8,13
Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2010,109000,8.26,15
Maruti Alto K10 LXI,Hyderabad,2011,70000,2.1,14
Tata Indigo LX,Coimbatore,2013,59138,2.58,12
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,61726,20.77,11
Maruti Celerio VXI AT,Hyderabad,2014,77815,4.25,11
Volkswagen Vento Diesel Trendline,Hyderabad,2011,108626,3.65,14
Maruti Omni 8 Seater BSIV,Hyderabad,2012,71791,2.05,13
Honda Brio 1.2 VX MT,Kochi,2012,91931,3.13,13
Tata Sumo Delux,Hyderabad,2000,158000,1.5,25
Tata Indica Vista Aura 1.3 Quadrajet,Pune,2012,91183,2.85,13
Maruti Wagon R LXI BS IV,Delhi,2012,65000,2.65,13
Tata Indigo LS Dicor,Pune,2008,138000,1.25,17
Honda Accord 2.4 A/T,Mumbai,2011,60000,4.45,14
Maruti Swift Dzire VDi,Kolkata,2012,48000,3.7,13
Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2009,160000,2.8,16
Honda City ZX GXi,Kolkata,2008,40000,1.8,17
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,51495,21.95,11
BMW 6 Series 640d Gran Coupe,Mumbai,2011,30000,49.0,14
Hyundai i20 1.4 CRDi Asta,Pune,2012,83000,5.5,13
Hyundai i10 Sportz AT,Bangalore,2009,37000,2.95,16
Hyundai i20 Asta 1.2,Pune,2011,79152,3.3,14
Volkswagen Polo Petrol Comfortline 1.2L,Kolkata,2011,32000,2.55,14
Maruti Alto LXi,Ahmedabad,2009,35000,1.5,16
Toyota Corolla H4,Chennai,2004,105000,2.5,21
Maruti Alto LXi,Chennai,2006,56000,1.4,19
Tata Manza ELAN Quadrajet BS IV,Pune,2012,73000,3.4,13
Maruti Alto LXi,Pune,2012,38000,2.25,13
Skoda Octavia Ambition Plus 2.0 TDI AT,Kolkata,2013,775000,7.5,12
Toyota Corolla H4,Kolkata,2008,80000,2.8,17
Honda City 1.5 V MT,Delhi,2010,87430,3.5,15
Tata Indica Vista Aqua 1.3 Quadrajet,Hyderabad,2014,133944,3.5,11
Honda Amaze S i-Dtech,Kolkata,2013,57000,3.45,12
Hyundai Verna 1.6 SX,Bangalore,2012,80000,5.25,13
Tata Manza Club Class Quadrajet90 LS,Ahmedabad,2013,47304,2.9,12
Skoda Octavia RS,Jaipur,2005,100000,2.05,20
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,68000,6.75,11
Chevrolet Spark 1.0 LS,Kolkata,2011,21000,0.95,14
Honda CR-V RVi MT,Jaipur,2007,119000,3.91,18
Hyundai i10 Magna 1.2,Chennai,2009,620000,2.7,16
Maruti Swift LDI,Delhi,2013,70000,3.5,12
Nissan Micra Diesel XV,Chennai,2011,83000,2.75,14
Ford Fiesta Classic 1.4 Duratorq CLXI,Pune,2012,63400,3.25,13
Maruti Zen LX,Kolkata,2003,65000,0.65,22
Toyota Etios GD,Kolkata,2014,45000,3.25,11
Maruti Alto VXi,Bangalore,2011,11000,2.9,14
BMW X5 3.0d,Bangalore,2009,90000,17.75,16
Audi Q7 3.0 TDI Quattro Premium Plus,Mumbai,2008,99000,12.95,17
Maruti 800 AC,Chennai,2007,72000,1.0,18
Mercedes-Benz New C-Class 220,Chennai,2014,25000,26.0,11
Maruti Ritz VDi,Hyderabad,2010,68000,3.2,15
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Jaipur,2014,59364,26.5,11
Mercedes-Benz B Class B180,Kochi,2014,41380,11.77,11
Honda City 1.5 S MT,Chennai,2011,93982,3.75,14
Hyundai Verna Transform VTVT,Pune,2010,95000,2.5,15
Hyundai EON Magna Plus,Chennai,2014,37000,3.25,11
Maruti Wagon R VXI BS IV,Kolkata,2014,17400,3.1,11
Maruti Ritz LDi,Coimbatore,2011,90207,3.91,14
BMW 3 Series 320d Sedan,Chennai,2011,89616,11.0,14
Tata Xenon XT EX 4X2,Pune,2014,85000,3.5,11
Audi A3 35 TDI Attraction,Chennai,2014,79271,16.5,11
Land Rover Range Rover 2.2L Dynamic,Hyderabad,2012,56000,30.0,13
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2010,85001,28.0,15
Maruti Alto LX,Jaipur,2010,125000,0.92,15
Maruti Wagon R LXI BSIII,Pune,2013,53000,2.75,12
Hyundai Verna 1.6 SX VTVT,Pune,2011,49768,4.95,14
BMW 5 Series 525d Sedan,Hyderabad,2013,56000,33.5,12
Jaguar XF Diesel,Bangalore,2013,75000,27.95,12
Skoda Superb Elegance 1.8 TSI AT,Hyderabad,2010,57000,7.25,15
Land Rover Range Rover 2.2L Pure,Coimbatore,2014,95649,29.67,11
Mercedes-Benz New C-Class 220 CDI AT,Jaipur,2013,35299,19.0,12
Volvo S80 2006-2013 D5,Chennai,2010,92098,7.25,15
Hyundai Accent GLE,Pune,2005,5834,0.8,20
Honda City 1.5 EXI S,Mumbai,2013,52576,4.35,12
Volkswagen Polo Petrol Trendline 1.2L,Kolkata,2010,55000,2.25,15
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,50000,8.5,14
Mini Cooper Convertible S,Mumbai,2014,11900,28.5,11
Toyota Etios VD,Bangalore,2013,37000,5.75,12
Honda Brio S MT,Delhi,2014,30000,3.2,11
Skoda Laura Ambiente 2.0 TDI CR AT,Coimbatore,2012,143017,6.58,13
BMW 5 Series 2003-2012 GT 530d LE,Coimbatore,2011,57832,25.82,14
Maruti Wagon R LXI BSII,Ahmedabad,2007,55100,1.45,18
Honda City ZX GXi,Kolkata,2008,40000,2.0,17
Chevrolet Enjoy 1.4 LS 8,Kolkata,2014,15000,3.75,11
Hyundai EON D Lite,Hyderabad,2014,20600,2.6,11
Honda Civic 2006-2010 1.8 S AT,Pune,2008,61938,2.65,17
Tata Indica Vista Quadrajet LS,Hyderabad,2014,67000,2.5,11
Mahindra XUV500 W8 2WD,Kochi,2013,61672,7.53,12
Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,39.0,11
Maruti Ritz VXi,Chennai,2011,67000,2.25,14
Mitsubishi Cedia Sports,Chennai,2010,66000,3.85,15
Renault Duster 110PS Diesel RxL,Hyderabad,2012,82749,5.99,13
Ford Ecosport 1.5 DV5 MT Titanium,Delhi,2014,31465,6.5,11
Volkswagen Polo Petrol Trendline 1.2L,Hyderabad,2013,76476,4.4,12
Tata Manza Aqua Quadrajet BS IV,Ahmedabad,2013,47000,2.95,12
Honda City 1.5 V MT,Kolkata,2011,48466,3.26,14
Hyundai Santro Xing GLS,Bangalore,2008,46000,2.22,17
Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2012,162663,10.5,13
Toyota Fortuner 4x4 MT TRD Sportivo,Delhi,2013,69000,14.45,12
Mercedes-Benz New C-Class 220 CDI MT,Chennai,2014,45000,23.0,11
Skoda Yeti Ambition 4X2,Kolkata,2012,64284,5.5,13
Skoda Octavia Ambition 1.4 TSI MT,Mumbai,2013,21000,8.75,12
Ford Figo Diesel EXI,Chennai,2011,75000,2.25,14
Ford Endeavour Hurricane Limited Edition,Hyderabad,2008,179000,4.24,17
Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,52000,2.75,13
Maruti Ritz VDi,Jaipur,2011,91000,3.0,14
Nissan Micra Diesel XV Premium,Pune,2013,60000,3.55,12
Hyundai Verna 1.6 SX,Kolkata,2013,37873,4.8,12
BMW 5 Series 2003-2012 523i,Kolkata,2011,31000,13.5,14
Honda CR-V 2.4L 4WD AT,Hyderabad,2004,78000,3.99,21
Hyundai i10 Era,Jaipur,2010,59000,2.32,15
Maruti Ertiga VXI,Jaipur,2014,98000,5.5,11
Skoda Octavia Classic 1.9 TDI MT,Chennai,2006,72000,3.2,19
Maruti Zen LXi BSII,Chennai,2004,29000,1.6,21
Maruti SX4 ZXI MT BSIV,Kochi,2013,66012,4.15,12
Honda Brio VX AT,Mumbai,2014,35000,4.25,11
Maruti Wagon R VXI,Ahmedabad,2011,75000,2.6,14
Toyota Camry A/T,Mumbai,2008,80000,3.43,17
Chevrolet Beat LS,Kochi,2012,32717,2.55,13
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,79000,6.25,11
Maruti Swift Vdi BSIII,Hyderabad,2010,86000,3.6,15
Mercedes-Benz S Class 2005 2013 S 350 CDI,Pune,2010,137000,18.5,15
Skoda Fabia 1.6 MPI Elegance,Pune,2012,41629,2.25,13
Hyundai Santro Xing GLS,Hyderabad,2009,80227,2.3,16
Skoda Rapid 1.6 TDI Ambition,Pune,2013,64186,3.76,12
BMW X5 xDrive 30d,Hyderabad,2011,75000,27.5,14
Toyota Etios G,Coimbatore,2013,27075,4.95,12
Maruti Wagon R LXI,Ahmedabad,2012,30000,3.3,13
Maruti Celerio VXI,Jaipur,2014,56000,2.79,11
Chevrolet Beat LT,Pune,2014,8700,2.55,11
Tata Nano Twist XT,Ahmedabad,2014,18000,1.0,11
Mercedes-Benz E-Class 280 CDI,Kochi,2009,80464,9.29,16
Fiat Linea T Jet,Coimbatore,2013,60283,2.98,12
Toyota Fortuner 3.0 Diesel,Hyderabad,2010,100000,13.0,15
Maruti Ertiga ZXI,Mumbai,2014,13361,6.8,11
BMW 3 Series 320i Sedan,Coimbatore,2010,48394,10.49,15
Maruti Ertiga VXI,Jaipur,2014,47399,5.6,11
Honda City 1.5 V AT,Mumbai,2010,69000,2.85,15
Hyundai Santa Fe 4X4,Coimbatore,2013,65278,8.36,12
Tata Indigo LS,Jaipur,2005,108000,1.0,20
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Kolkata,2010,50645,10.75,15
Maruti Swift Dzire LDi,Hyderabad,2011,130002,3.85,14
Ford Fiesta Classic 1.4 Duratorq CLXI,Hyderabad,2012,107000,3.0,13
Toyota Fortuner 4x2 Manual,Delhi,2012,109000,13.25,13
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,43900,6.75,11
Chevrolet Enjoy TCDi LTZ 7 Seater,Bangalore,2013,64000,4.85,12
Maruti SX4 ZXI AT Leather,Mumbai,2009,77652,2.85,16
Toyota Innova 2.5 VX (Diesel) 7 Seater,Mumbai,2012,55000,9.51,13
BMW 5 Series 2003-2012 520d,Ahmedabad,2012,59900,18.5,13
Honda City ZX GXi,Kochi,2009,69690,3.29,16
Maruti Swift Dzire VXi,Pune,2010,109200,2.2,15
Mahindra XUV500 W6 2WD,Pune,2012,80000,6.5,13
Honda Civic 2006-2010 1.8 S MT,Ahmedabad,2007,51000,4.9,18
Maruti Ertiga ZDI,Pune,2013,105000,6.75,12
Toyota Etios Liva GD,Chennai,2013,179000,3.8,12
Audi TT 2.0 TFSI,Delhi,2013,12100,29.5,12
Skoda Laura 1.9 TDI AT Elegance,Jaipur,2009,48000,5.0,16
Mahindra Renault Logan 1.5 DLE Diesel,Chennai,2007,35000,2.3,18
BMW 3 Series 320d Luxury Line,Bangalore,2014,47000,25.5,11
Toyota Corolla Altis 1.8 Sport,Pune,2010,31000,5.0,15
Honda City 1.5 V MT,Kolkata,2011,42086,3.35,14
Maruti Swift ZXI,Chennai,2013,49000,4.45,12
Mahindra Bolero ZLX,Jaipur,2012,105000,6.0,13
Maruti Swift VDI,Chennai,2014,35000,5.25,11
Audi A6 2011-2015 2.0 TDI Premium Plus,Hyderabad,2012,202082,12.3,13
Ford Ikon 1.3 LXi NXt,Chennai,2004,129000,1.5,21
Mahindra Bolero VLX CRDe,Coimbatore,2012,60271,6.12,13
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,9500,3.5,11
BMW X1 sDrive 20d Exclusive,Mumbai,2012,15200,13.5,13
Audi Q7 4.2 TDI Quattro Technology,Kochi,2014,79926,29.77,11
Maruti Ertiga VDI,Kolkata,2013,53073,5.95,12
Mercedes-Benz S Class 2005 2013 S 350 L,Bangalore,2006,47088,19.0,19
Renault Duster 85PS Diesel RxL,Ahmedabad,2014,55000,4.75,11
Mahindra Quanto C2,Hyderabad,2013,80430,3.3,12
Toyota Fortuner 4x2 AT,Delhi,2013,71932,16.5,12
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,19000,44.0,11
Maruti Swift Dzire VDi,Hyderabad,2011,81759,4.39,14
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,Mumbai,2008,93000,5.45,17
Maruti Omni 8 Seater BSII,Pune,2010,60000,1.45,15
Nissan Terrano XL 85 PS,Hyderabad,2014,59962,6.9,11
Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,72000,5.8,13
Audi Q7 3.0 TDI Quattro Premium Plus,Pune,2009,94000,12.0,16
Chevrolet Aveo U-VA 1.2 LT,Coimbatore,2010,64236,2.44,15
Mahindra Bolero ZLX BSIII,Kolkata,2000,124000,1.95,25
Hyundai Xcent 1.2 Kappa S,Mumbai,2014,7400,4.35,11
Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,2.9,12
BMW 3 Series 320d Prestige,Mumbai,2013,37500,16.75,12
Honda City 1.5 S MT,Mumbai,2009,70000,2.1,16
Honda Accord 2.4 MT,Kochi,2011,54316,4.29,14
Mahindra Xylo E8,Hyderabad,2009,90764,3.85,16
BMW 3 Series 320d,Chennai,2009,137000,9.0,16
Honda City V MT,Pune,2013,127000,4.5,12
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,67407,4.65,11
Toyota Fortuner 4x2 Manual,Hyderabad,2014,107825,20.5,11
Mahindra Bolero DI BSII,Chennai,2006,82453,2.9,19
Maruti Esteem Vxi - BSIII,Chennai,2007,30441,1.45,18
Hyundai i20 Sportz Option,Delhi,2013,48454,3.5,12
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Kolkata,2013,58000,5.9,12
Ford Ikon 1.3 CLXi,Hyderabad,2007,92000,1.25,18
Hyundai i10 Sportz,Kolkata,2013,25000,2.65,12
BMW 3 Series 320d Highline,Bangalore,2014,69330,23.5,11
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Delhi,2011,61000,12.5,14
Chevrolet Beat Option Pack,Kolkata,2010,35000,1.5,15
Mahindra XUV500 W8 2WD,Delhi,2012,72450,8.1,13
Honda City ZX CVT,Chennai,2005,100000,1.96,20
Maruti Alto K10 VXI,Bangalore,2011,64357,2.75,14
Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,2.8,16
Toyota Corolla Executive (HE),Chennai,2007,89000,3.0,18
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,49964,23.89,11
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,2014,35000,12.75,11
Hyundai Grand i10 CRDi Sportz,Jaipur,2014,64000,4.15,11
Volkswagen Vento IPL II Petrol Highline AT,Mumbai,2013,36000,4.65,12
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Delhi,2012,78600,8.9,13
Hyundai Verna CRDi SX,Jaipur,2008,170000,1.5,17
Audi Q7 3.0 TDI Quattro Technology,Pune,2008,120300,18.0,17
Honda City i VTEC S,Pune,2014,58407,6.16,11
Maruti Ciaz ZXi,Pune,2014,49500,6.0,11
Nissan Sunny XV CVT,Kochi,2013,37199,5.43,12
